model_dataset_name,BaselineNaiveSeasonal - m4
model,BaselineNaiveSeasonal
dataset,m4
Mean Absolute Error,392.6
Mean Absolute Percentage Error,0.07223030984679468
Symmetric Mean Absolute Percentage Error,0.03602032508032567
Mean Squared Error,544608.0700000001
Root Mean Squared Error,470.0219245278933
Root Mean Squared Log Error,0.08895789099333737
R-squared,-0.38734135700487476
Mean of the Residuals,-41.575
Standard Deviation of the Residuals,446.77224281988646
